N¼,Nombre,Total,Por mil (ä)
404,GINA MARCELA,49,"0,304"
405,LINA PAOLA,49,"0,304"
406,LUZ HELENA,49,"0,304"
407,MARIA ELIZABETH,49,"0,304"
408,MARIA PAZ,49,"0,304"
409,MARTHA PATRICIA,49,"0,304"
410,ANA PATRICIA,48,"0,298"
411,CARMEN CECILIA,48,"0,298"
412,CLAUDIA ANDREA,48,"0,298"
413,DORALBA,48,"0,298"
414,ELISABETH,48,"0,298"
415,GLADIS,48,"0,298"
416,LAURA CAROLINA,48,"0,298"
417,LIBIA,48,"0,298"
418,MARIA CATALINA,48,"0,298"
419,MARIA LUCIA,48,"0,298"
420,NINI JOHANNA,48,"0,298"
421,RAQUEL,48,"0,298"
422,SAMARA,48,"0,298"
423,DIANA KATHERINE,47,"0,292"
424,FLOR ALBA,47,"0,292"
425,JESSICA ANDREA,47,"0,292"
426,LADY JOHANA,47,"0,292"
427,LIZETH,47,"0,292"
428,MILENA,47,"0,292"
429,CARMEN,46,"0,286"
430,DANIELA ANDREA,46,"0,286"
431,INGRID JOHANNA,46,"0,286"
432,LAURA JULIANA,46,"0,286"
433,LEIDY MARCELA,46,"0,286"
434,LILIANA ANDREA,46,"0,286"
435,MARIA ROSALBA,46,"0,286"
436,MARIA SALOME,46,"0,286"
437,MAYERLIN,46,"0,286"
438,MONICA LILIANA,46,"0,286"
439,YURANY,46,"0,286"
440,ADRIANA LUCIA,45,"0,280"
441,DIANA CATALINA,45,"0,280"
442,ERIKA JOHANNA,45,"0,280"
443,JENNY CAROLINA,45,"0,280"
444,KAREN JULIETH,45,"0,280"
445,LEIDY,45,"0,280"
446,MARIA JULIANA,45,"0,280"
447,CINDY PAOLA,44,"0,273"
448,ERIKA MARIA,44,"0,273"
449,GLORIA ISABEL,44,"0,273"
450,JAKELINE,44,"0,273"
451,JENNY ALEJANDRA,44,"0,273"
452,MARIA STELLA,44,"0,273"
453,MARIA VALENTINA,44,"0,273"
454,YURANI,44,"0,273"
455,LAURA CATALINA,43,"0,267"
456,LEYDI JOHANA,43,"0,267"
457,MARIA DANIELA,43,"0,267"
458,MARIA JESUS,43,"0,267"
459,MARTHA ELENA,43,"0,267"
460,SANDRA PAOLA,43,"0,267"
461,ALBA LUZ,42,"0,261"
462,ALISSON,42,"0,261"
